ntw	slice	metrics	min	max	mean	p25	p50	p75
"MX09"	"mx09_130628.xlsx"	"Closeness"	0	0	0	0	0	0
"MX09"	"mx09_130628.xlsx"	"Betweenness"	0	149.02962	10.31274	0	.37435897	7.3652396
"MX09"	"mx09_130628.xlsx"	"Eigenvalue"	0	.23664949	.12920237	.05631313	.13904936	.20410852
"MX09"	"mx09_081031.xlsx"	"In-Degree"	0	26	9.8837209	2.25	9	18
"MX09"	"mx09_081031.xlsx"	"Out-Degree"	0	34	9.8837209	2.25	9	18
"MX09"	"mx09_081031.xlsx"	"Closeness"	0	0	0	0	0	0
"MX09"	"mx09_081031.xlsx"	"Betweenness"	0	173.19012	14.55131	0	0	9.297114
"MX09"	"mx09_081031.xlsx"	"Eigenvalue"	-.27355451	0	-.11219831	-.20724402	-.13101706	0
"MX08"	"mx08_140630.xlsx"	"In-Degree"	0	16	3.4651163	0	0	7.75
"MX08"	"mx08_140630.xlsx"	"Out-Degree"	0	17	3.4651163	0	0	7.75
"MX08"	"mx08_140630.xlsx"	"Closeness"	0	0	0	0	0	0
"MX08"	"mx08_140630.xlsx"	"Betweenness"	0	68.606349	5.7535068	0	0	1.2065476
"MX08"	"mx08_140630.xlsx"	"Eigenvalue"	-.36877606	0	-.08888207	-.15867011	0	0
"MX08"	"mx08_130628.xlsx"	"In-Degree"	0	17	6.1395349	2	5	8.75
"MX08"	"mx08_130628.xlsx"	"Out-Degree"	0	24	6.1395349	2	5	8.75
"MX08"	"mx08_130628.xlsx"	"Closeness"	0	0	0	0	0	0
"MX08"	"mx08_130628.xlsx"	"Betweenness"	0	271.4488	36.202754	0	6.8397759	52.736527
"MX08"	"mx08_130628.xlsx"	"Eigenvalue"	0	.3256162	.11010203	.01937279	.08126791	.17588199
"MX08"	"mx08_081031.xlsx"	"In-Degree"	0	19	6.4186047	1	4	11
"MX08"	"mx08_081031.xlsx"	"Out-Degree"	0	22	6.4186047	1	4	11
"MX08"	"mx08_081031.xlsx"	"Closeness"	0	0	0	0	0	0
"MX08"	"mx08_081031.xlsx"	"Betweenness"	0	215.65303	27.876574	0	4.6088106	26.961521
"MX08"	"mx08_081031.xlsx"	"Eigenvalue"	-.32709272	0	-.11275542	-.19381843	-.09654559	-.01626116
"MX07"	"mx07_140630.xlsx"	"In-Degree"	0	40	18.604651	10	19	28
"MX07"	"mx07_140630.xlsx"	"Out-Degree"	0	41	18.604651	10	19	28
"MX07"	"mx07_140630.xlsx"	"Closeness"	0	0	0	0	0	0
"MX07"	"mx07_140630.xlsx"	"Betweenness"	0	155.89328	16.935566	0	.41694139	9.8607191
"MX07"	"mx07_140630.xlsx"	"Eigenvalue"	0	.24294676	.13554049	.06973335	.14577976	.19711787
"MX07"	"mx07_130628.xlsx"	"In-Degree"	0	40	18.837209	9	19	29.5
"MX07"	"mx07_130628.xlsx"	"Out-Degree"	0	39	18.837209	9	19	29.5
"MX07"	"mx07_130628.xlsx"	"Closeness"	0	0	0	0	0	0
"MX07"	"mx07_130628.xlsx"	"Betweenness"	0	127.83979	10.361121	.01315789	1.0057572	9.861684
"MX07"	"mx07_130628.xlsx"	"Eigenvalue"	-.2334408	0	-.13751982	-.19677433	-.14835836	-.08473662
"MX07"	"mx07_081031.xlsx"	"In-Degree"	0	38	13.790698	4.25	12	22.5
"MX07"	"mx07_081031.xlsx"	"Out-Degree"	0	35	13.790698	4.25	12	22.5
"MX07"	"mx07_081031.xlsx"	"Closeness"	0	0	0	0	0	0
"MX07"	"mx07_081031.xlsx"	"Betweenness"	0	277.62186	18.210387	0	.34090909	12.624019
"MX07"	"mx07_081031.xlsx"	"Eigenvalue"	0	.26502835	.13089801	.07426244	.11904907	.1918158
"MX06"	"mx06_140630.xlsx"	"In-Degree"	0	17	1.2093023	0	0	1
"MX06"	"mx06_140630.xlsx"	"Out-Degree"	0	4	1.2093023	0	0	1
"MX06"	"mx06_140630.xlsx"	"Closeness"	0	0	0	0	0	0
"MX06"	"mx06_140630.xlsx"	"Betweenness"	0	83	5.4108527	0	0	0
"MX06"	"mx06_140630.xlsx"	"Eigenvalue"	0	.421185	.11197877	0	.08839456	.15438017
"MX06"	"mx06_130628.xlsx"	"In-Degree"	0	12	1.3023256	0	0	2
"MX06"	"mx06_130628.xlsx"	"Out-Degree"	0	5	1.3023256	0	0	2
"MX06"	"mx06_130628.xlsx"	"Closeness"	0	0	0	0	0	0
"MX06"	"mx06_130628.xlsx"	"Betweenness"	0	208	13.139535	0	0	13.75
"MX06"	"mx06_130628.xlsx"	"Eigenvalue"	-.3826254	0	-.10476835	-.19015194	-.09623673	0
"MX06"	"mx06_081031.xlsx"	"In-Degree"	0	12	1.2093023	0	0	1
"MX06"	"mx06_081031.xlsx"	"Out-Degree"	0	4	1.2093023	0	0	1
"MX06"	"mx06_081031.xlsx"	"Closeness"	0	0	0	0	0	0
"MX06"	"mx06_081031.xlsx"	"Betweenness"	0	84.5	5.5813953	0	0	0
"MX06"	"mx06_081031.xlsx"	"Eigenvalue"	-.29172035	0	-.10336444	-.18029309	-.11142726	0
"MX05"	"mx05_140630.xlsx"	"In-Degree"	0	10	1.627907	0	0	2
"MX05"	"mx05_140630.xlsx"	"Out-Degree"	0	8	1.627907	0	0	2
"MX05"	"mx05_140630.xlsx"	"Closeness"	0	0	0	0	0	0
"MX05"	"mx05_140630.xlsx"	"Betweenness"	0	133.25	15.003876	0	0	9.9583333
"MX05"	"mx05_140630.xlsx"	"Eigenvalue"	0	.49645242	.10075361	0	.07307777	.17430436
"MX05"	"mx05_130628.xlsx"	"In-Degree"	0	15	4.2093023	1	3	6
"MX05"	"mx05_130628.xlsx"	"Out-Degree"	0	15	4.2093023	1	3	6
"MX05"	"mx05_130628.xlsx"	"Closeness"	0	0	0	0	0	0
"MX05"	"mx05_130628.xlsx"	"Betweenness"	0	280.25505	33.833092	0	3.5538462	44.091561
"MX05"	"mx05_130628.xlsx"	"Eigenvalue"	-.3673244	0	-.10499437	-.18617693	-.06078047	0
"MX05"	"mx05_081031.xlsx"	"In-Degree"	0	15	3.5813953	0	1	7
"MX05"	"mx05_081031.xlsx"	"Out-Degree"	0	16	3.5813953	0	1	7
"MX05"	"mx05_081031.xlsx"	"Closeness"	0	0	0	0	0	0
"MX05"	"mx05_081031.xlsx"	"Betweenness"	0	107.25	9.3534175	0	0	4.3794643
"MX05"	"mx05_081031.xlsx"	"Eigenvalue"	-.35622054	0	-.09568156	-.1827169	-.02464645	0
"MX04"	"mx04_140630.xlsx"	"In-Degree"	0	15	2.3023256	0	0	4
"MX04"	"mx04_140630.xlsx"	"Out-Degree"	0	13	2.3023256	0	0	4
"MX04"	"mx04_140630.xlsx"	"Closeness"	0	0	0	0	0	0
"MX04"	"mx04_140630.xlsx"	"Betweenness"	0	19.666667	2.3100775	0	0	0
"MX04"	"mx04_140630.xlsx"	"Eigenvalue"	0	.57735027	.04028025	0	5.915e-26	5.761e-10
"MX04"	"mx04_130628.xlsx"	"In-Degree"	0	15	2.5348837	0	0	4.75
"MX04"	"mx04_130628.xlsx"	"Out-Degree"	0	15	2.5348837	0	0	4.75
"MX04"	"mx04_130628.xlsx"	"Closeness"	0	0	0	0	0	0
"MX04"	"mx04_130628.xlsx"	"Betweenness"	0	158	13.604651	0	0	0
"MX04"	"mx04_130628.xlsx"	"Eigenvalue"	0	.55051066	.08297624	0	.01418683	.12842458
"MX04"	"mx04_081031.xlsx"	"In-Degree"	0	6	1.0697674	0	0	2
"MX04"	"mx04_081031.xlsx"	"Out-Degree"	0	8	1.0697674	0	0	2
"MX04"	"mx04_081031.xlsx"	"Closeness"	0	0	0	0	0	0
"MX04"	"mx04_081031.xlsx"	"Betweenness"	0	24.5	1.8255814	0	0	0
"MX04"	"mx04_081031.xlsx"	"Eigenvalue"	-.50014474	5.447e-17	-.06881837	-.07293777	0	0
"MX03"	"mx03_140630.xlsx"	"In-Degree"	0	19	3	0	1	5
"MX03"	"mx03_140630.xlsx"	"Out-Degree"	0	11	3	0	1	5
"MX03"	"mx03_140630.xlsx"	"Closeness"	0	0	0	0	0	0
